product_key,product_id,supplier_key,product_name,category,subcategory,unit_of_measure,unit_cost,unit_price,status
1,PROD-000001,207,Cold Rolled Steel Coil Specialty Series 0001,Raw Materials,Specialty,Liter,478.67,629.38,Active
2,PROD-000002,753,Steel Coupling Specialty Series 0002,Components,Specialty,Each,79.39,119.88,Active
3,PROD-000003,21,Industrial Drive System Standard Series 0003,Industrial Equipment,Standard,Kg,445.2,632.21,Active
4,PROD-000004,181, Drive Shaft Assembly Standard Series 0004 ,Components,Standard,Kg,282.84,451.36,Active
5,PROD-000005,929,Material Handling Unit Specialty Series 0005,Industrial Equipment,Specialty,Liter,216.44,503.45,Active
6,PROD-000006,752,Conveyor Roller Assembly Specialty Series 0006,Components,Specialty,Meter,317.54,544.59,Inactive
7,PROD-000007,950,Precision Bearing Assembly Standard Series 0007,Components,Standard,Meter,16.02,38.88,Active
8,PROD-000008,161,Steel Coupling Premium Series 0008,Components,Premium,Kg,206.08,361.45,Active
9,PROD-000009,57,Proximity Sensor Specialty Series 0009,Electronics,Specialty,Each,364.28,871.4,Inactive
10,PROD-000010,504,Pallet Wrap Assembly Premium Series 0010,Packaging,Premium,Kg,161.82,233.62,Active
11,PROD-000011,911,Stainless Steel Sheet Standard Series 0011,Raw Materials,Standard,Meter,183.67,309.87,Active
12,PROD-000012,120,Engineering Plastic Pellets Standard Series 0012,Raw Materials,Standard,Kg,427.3,559.0,Inactive
13,PROD-000013,949,Cold Rolled Steel Coil Specialty Series 0013,Raw Materials,Specialty,Kg,488.92,948.65,Active
14,PROD-000014,969,Aluminum Sheet Stock Standard Series 0014,Raw Materials,Standard,Meter,310.82,710.22,Active
15,PROD-000015,812,Aluminum Mounting Bracket Specialty Series 0015,Components,Specialty,Each,422.72,543.22,Active
16,PROD-000016,370,Pallet Wrap Assembly Premium Series 0016,Packaging,Premium,Kg,286.57,632.7,Active
17,PROD-000017,328,Motor Control Panel Premium Series 0017,Electronics,Premium,Meter,364.43,764.98,Active
18,PROD-000018,198,Engineering Plastic Pellets Premium Series 0018,Raw Materials,Premium,Kg,276.62,375.14,Active
19,PROD-000019,134,Hydraulic Power Unit Standard Series 0019,Industrial Equipment,Standard,Kg,297.84,587.96,Active
20,PROD-000020,601,Variable Frequency Drive Specialty Series 0020,Electronics,Specialty,Liter,356.93,810.94,Active
21,PROD-000021,113,Polymer Resin Specialty Series 0021,Raw Materials,Specialty,Kg,122.01,256.65,Active
22,PROD-000022,858,Industrial Copper Wire Standard Series 0022,Raw Materials,Standard,Each,473.68,856.69,Active
23,PROD-000023,940,Motor Control Panel Standard Series 0023,Electronics,Standard,Meter,447.64,772.22,Active
24,PROD-000024,474,Conveyor Roller Assembly Specialty Series 0024,Components,Specialty,Each,419.48,786.52,Active
25,PROD-000025,793,Cold Rolled Steel Coil Premium Series 0025,Raw Materials,Premium,Kg,195.54,280.67,Active
26,PROD-000026,845,Steel Coupling Premium Series 0026,Components,Premium,Kg,496.16,715.17,Active
27,PROD-000027,554,Aluminum Mounting Bracket Specialty Series 0027,Components,Specialty,Liter,357.55,646.64,Inactive
28,PROD-000028,81,Drive Shaft Assembly Specialty Series 0028,Components,Specialty,Each,58.35,130.17,Inactive
29,PROD-000029,945,Stainless Steel Sheet Standard Series 0029,Raw Materials,Standard,Each,157.45,293.41,Active
30,PROD-000030,127,Industrial Signal Converter Specialty Series 0030,Electronics,Specialty,Meter,196.91,491.11,Active
31,PROD-000031,120,Industrial Control Module Specialty Series 0031,Electronics,Specialty,Each,381.66,868.52,Active
32,PROD-000032,525,Pneumatic Control Unit Premium Series 0032,Industrial Equipment,Premium,Meter,367.07,613.77,Active
33,PROD-000033,558,Proximity Sensor Standard Series 0033,Electronics,Standard,Liter,484.19,730.75,Active
34,PROD-000034,996,Pallet Wrap Assembly Specialty Series 0034,Packaging,Specialty,Liter,258.94,391.83,Active
35,PROD-000035,754,Stainless Steel Sheet Standard Series 0035,Raw Materials,Standard,Each,479.44,1186.7,Active
36,PROD-000036,760,Industrial Signal Converter Standard Series 0036,Electronics,Standard,Each,73.14,151.13,Active
37,PROD-000037,733,Cold Rolled Steel Coil Premium Series 0037,Raw Materials,Premium,Meter,464.34,1154.01,Active
