location_key,location_id,location_name,location_type,city,state_region,country,status
1,LOC-000001,Costashire Distribution Center Facility,Distribution Center,Costashire,Pennsylvania,Sweden,Active
2,LOC-000002,Wongland Distribution Center Facility,Distribution Center,Wongland,Oklahoma,United States,Active
3,LOC-000003,Pattersonburgh Plant Facility,Unknown,Pattersonburgh,Minnesota,Sweden,Active
4,LOC-000004,Christopherhaven Warehouse Facility,Warehouse,Unknown,California,Mexico,Active
5,LOC-000005,South Paulton Warehouse Facility,Warehouse,South Paulton,Illinois,Germany,Inactive
6,LOC-000006,Sandraview Office Facility,Office,Sandraview,Virginia,Mexico,Inactive
7,LOC-000007,Tiffanytown Office Facility,Office,Tiffanytown,North Dakota,Mexico,Active
8,LOC-000008,Gordonview Office Facility,Office,Gordonview,Idaho,Sweden,Active
9,LOC-000009,Rodneymouth Warehouse Facility,Warehouse,Rodneymouth,New York,Canada,Active
10,LOC-000010,North Matthew Office Facility,Office,North Matthew,New York,Canada,Active
11,LOC-000011,Piercemouth Distribution Center Facility,Distribution Center,Piercemouth,Minnesota,United States,Active
12,LOC-000012,Dustinfort Warehouse Facility,Warehouse,Dustinfort,South Dakota,Germany,Active
13,LOC-000013,Michaelfort Office Facility,Office,Michaelfort,Maine,Germany,Active
14,LOC-000014,South Edward Warehouse Facility,Warehouse,South Edward,Georgia,Germany,Inactive
15,LOC-000015,Patriciaport Distribution Center Facility,Distribution Center,Patriciaport,Michigan,Mexico,Active
16,LOC-000016,Jamiemouth Plant Facility,Plant,Jamiemouth,Georgia,Mexico,Active
17,LOC-000017,Phamside Warehouse Facility,Warehouse,Phamside,Washington,Canada,Active
18,LOC-000018,East Seanport Plant Facility,Plant,East Seanport,Ohio,United States,Active
19,LOC-000019,West Tyler Office Facility,Office,West Tyler,Alabama,United States,Active
20,LOC-000020,Moonmouth Plant Facility,Unknown,Moonmouth,Illinois,United States,Active
21,LOC-000021,Tiffanybury Distribution Center Facility,Distribution Center,Unknown,Oklahoma,Sweden,Active
22,LOC-000022,Campbellchester Distribution Center Facility,Distribution Center,Campbellchester,California,United States,Active
23,LOC-000023,Petersenport Warehouse Facility,Warehouse,Petersenport,Oklahoma,Mexico,Active
24,LOC-000024,Christopherfort Plant Facility,Unknown,Christopherfort,Rhode Island,Canada,Active
25,LOC-000025,Alvareztown Plant Facility,Plant,Alvareztown,Oklahoma,Mexico,Active
26,LOC-000026,Ellisberg Distribution Center Facility,Distribution Center,Ellisberg,Texas,Germany,Active
27,LOC-000027,Port Beth Office Facility,Unknown,Port Beth,West Virginia,Canada,Active
28,LOC-000028,Foxside Plant Facility,Plant,Foxside,Utah,United States,Active
29,LOC-000029,Kimberlyshire Office Facility,Office,Kimberlyshire,West Virginia,Canada,Active
30,LOC-000030,North Patriciaview Plant Facility,Plant,North Patriciaview,Wyoming,Canada,Active
31,LOC-000031,Morganshire Warehouse Facility,Warehouse,Morganshire,Minnesota,Canada,Active
32,LOC-000032,Dominiquemouth Plant Facility,Plant,Dominiquemouth,Pennsylvania,Germany,Active
33,LOC-000033,Lake Christina Plant Facility,Plant,Lake Christina,Idaho,United States,Active
34,LOC-000034,Port Adrienne Plant Facility,Plant,Port Adrienne,Oklahoma,Germany,Active
35,LOC-000035,Port Catherineburgh Plant Facility,Plant,Port Catherineburgh,New Mexico,United States,Active
36,LOC-000036,Henryside Office Facility,Office,Henryside,New Jersey,Mexico,Active
37,LOC-000037,North Kaylaborough Office Facility,Office,North Kaylaborough,California,United States,Active
38,LOC-000038,West Michael Plant Facility,Plant,West Michael,California,Canada,Inactive
39,LOC-000039,Robinsonburgh Warehouse Facility,Warehouse,Robinsonburgh,Arkansas,Canada,Active
40,LOC-000040,West Elizabeth Distribution Center Facility,Distribution Center,West Elizabeth,Rhode Island,Mexico,Inactive
41,LOC-000041,West Heidi Distribution Center Facility,Distribution Center,West Heidi,Michigan,Mexico,Active
42,LOC-000042,Randallborough Plant Facility,Plant,Randallborough,Minnesota,Mexico,Active
43,LOC-000043,West Robert Warehouse Facility,Warehouse,West Robert,California,Germany,Inactive
44,LOC-000044,West Amandaville Distribution Center Facility,Distribution Center,West Amandaville,Texas,Sweden,Active
45,LOC-000045,West Brian Warehouse Facility,Warehouse,West Brian,Alaska,Germany,Active
46,LOC-000046,Taylorview Plant Facility,Plant,Taylorview,Delaware,Mexico,Active
47,LOC-000047,New Angela Plant Facility,Plant,New Angela,Kentucky,Sweden,Active
48,LOC-000048,Richardfort Plant Facility,Plant,Richardfort,West Virginia,Germany,Inactive
49,LOC-000049,Melissaport Office Facility,Office,Melissaport,Massachusetts,Mexico,Active
50,LOC-000050,New Brookefort Warehouse Facility,Warehouse,New Brookefort,Iowa,Canada,Active
51,LOC-000051,Leslieland Office Facility,Office,Leslieland,Iowa,United States,Active
52,LOC-000052,Andersenbury Warehouse Facility,Warehouse,Andersenbury,Massachusetts,Canada,Active
53,LOC-000053,Lake Samuel Distribution Center Facility,Distribution Center,Lake Samuel,West Virginia,Sweden,Active
54,LOC-000054,Kendrabury Plant Facility,Plant,Kendrabury,Wisconsin,Sweden,Active
55,LOC-000055,Lake Susan Plant Facility,Plant,Lake Susan,North Dakota,Sweden,Active
56,LOC-000056,East Josehaven Plant Facility,Plant,East Josehaven,North Carolina,United States,Active
57,LOC-000057,East Andreafort Distribution Center Facility,Distribution Center,Unknown,Alabama,United States,Active
58,LOC-000058,Andrewfurt Plant Facility,Plant,Andrewfurt,South Carolina,Germany,Active
59,LOC-000059,New Glennview Plant Facility,Plant,New Glennview,South Carolina,Canada,Active
60,LOC-000060,Cassidyton Office Facility,Office,Cassidyton,Louisiana,Sweden,Active
61,LOC-000061,Lake Margaretburgh Office Facility,Office,Lake Margaretburgh,Georgia,United States,Active
62,LOC-000062,Longshire Plant Facility,Plant,Longshire,Vermont,United States,Inactive
63,LOC-000063,East Andrewmouth Plant Facility,Plant,East Andrewmouth,Missouri,Mexico,Active
64,LOC-000064,Port Christophermouth Office Facility,Office,Port Christophermouth,California,Germany,Active
65,LOC-000065,Jessicaview Office Facility,Office,Jessicaview,Arizona,Canada,Active
66,LOC-000066,Rodgersmouth Warehouse Facility,Warehouse,Rodgersmouth,Mississippi,Mexico,Active
67,LOC-000067,Patelland Warehouse Facility,Warehouse,Patelland,Idaho,United States,Active
68,LOC-000068,Velazquezhaven Warehouse Facility,Warehouse,Velazquezhaven,Kentucky,Canada,Active
69,LOC-000069,Ryanfurt Distribution Center Facility,Distribution Center,Ryanfurt,Illinois,Sweden,Active
70,LOC-000070,Sarastad Plant Facility,Plant,Sarastad,Vermont,Sweden,Active
71,LOC-000071,New Danny Office Facility,Office,New Danny,Kentucky,United States,Active
72,LOC-000072,New Christopher Office Facility,Office,New Christopher,Wyoming,Mexico,Active
73,LOC-000073,North Rodneyborough Office Facility,Office,North Rodneyborough,Florida,Sweden,Active
74,LOC-000074,Joshuaport Warehouse Facility,Warehouse,Joshuaport,Minnesota,Germany,Active
75,LOC-000075,Harriston Plant Facility,Plant,Harriston,South Dakota,Mexico,Active
76,LOC-000076,East Katelynmouth Office Facility,Office,East Katelynmouth,Idaho,Canada,Active
77,LOC-000077,Michaelmouth Distribution Center Facility,Unknown,Michaelmouth,Delaware,Mexico,Active
78,LOC-000078,North Christopher Warehouse Facility,Warehouse,North Christopher,Iowa,United States,Active
79,LOC-000079,Marilynside Plant Facility,Plant,Marilynside,North Dakota,Germany,Active
80,LOC-000080,East Michael Plant Facility,Plant,East Michael,Delaware,United States,Active
81,LOC-000081,Sheilaborough Plant Facility,Plant,Sheilaborough,Florida,United States,Active
82,LOC-000082,Mcdanielside Plant Facility,Plant,Mcdanielside,Mississippi,Sweden,Active
83,LOC-000083,Thomasview Office Facility,Office,Thomasview,North Carolina,Mexico,Inactive
84,LOC-000084,East Brenda Plant Facility,Plant,East Brenda,Delaware,Sweden,Active
85,LOC-000085,Kayleefurt Office Facility,Office,Kayleefurt,Oklahoma,Mexico,Active
86,LOC-000086,West Christopher Distribution Center Facility,Distribution Center,West Christopher,Maine,Germany,Active
87,LOC-000087,Davidtown Office Facility,Office,Davidtown,Alaska,United States,Active
88,LOC-000088,East Ashley Warehouse Facility,Warehouse,East Ashley,Colorado,Sweden,Inactive
89,LOC-000089,Lake Jennifer Plant Facility,Plant,Lake Jennifer,Georgia,United States,Active
90,LOC-000090,Boltonhaven Plant Facility,Plant,Boltonhaven,Ohio,Canada,Active
91,LOC-000091,Port Christina Warehouse Facility,Warehouse,Port Christina,Alabama,Mexico,Active
92,LOC-000092,South Jennifer Distribution Center Facility,Distribution Center,South Jennifer,North Dakota,Mexico,Active
93,LOC-000093,Lake Brendamouth Plant Facility,Plant,Lake Brendamouth,New Hampshire,Germany,Active
94,LOC-000094,Sydneyshire Office Facility,Office,Sydneyshire,Montana,Germany,Active
95,LOC-000095,South Elizabeth Office Facility,Office,Unknown,Washington,Mexico,Active
96,LOC-000096,Knappview Distribution Center Facility,Distribution Center,Unknown,California,Canada,Active
97,LOC-000097,West Theresa Plant Facility,Plant,West Theresa,Delaware,Germany,Active
98,LOC-000098,Brownmouth Office Facility,Office,Brownmouth,Nebraska,Mexico,Active
99,LOC-000099,Adamport Warehouse Facility,Warehouse,Adamport,New Mexico,Sweden,Active
100,LOC-000100,Sarahville Distribution Center Facility,Distribution Center,Sarahville,Nebraska,Canada,Active
